time,/cells[0]/CellGroup_1_0[0]/Comp_1_0[0]
0.0931,-0.0754018801856
0.0932,-0.0753763056836
0.0933,-0.0753507102991
0.0934,-0.0753250782376
0.0935,-0.0752994081897
0.0936,-0.0752737397069
0.0937,-0.0752480554558
0.0938,-0.0752223716943
0.0939,-0.0751966791696
0.094,-0.0751710117265
0.0941,-0.0751453535545
0.0942,-0.0751196890866
0.0943,-0.0750940314044
0.0944,-0.0750684033174
0.0945,-0.0750427999228
0.0946,-0.0750172381687
0.0947,-0.0749917194886
0.0948,-0.0749662337261
0.0949,-0.0749407760501
0.095,-0.074915392105
0.0951,-0.0748900398183
0.0952,-0.0748647512229
0.0953,-0.0748395138858
0.0954,-0.0748143333167
0.0955,-0.074789205865
0.0956,-0.0747641715525
0.0957,-0.074739230715
0.0958,-0.0747143375613
0.0959,-0.0746895172048
0.096,-0.0746647908253
0.0961,-0.0746401368448
0.0962,-0.0746155800934
0.0963,-0.0745910990991
0.0964,-0.074566719012
0.0965,-0.0745424464981
0.0966,-0.0745182701571
0.0967,-0.0744941900971
0.0968,-0.0744702271063
0.0969,-0.0744463487381
0.097,-0.0744225806738
0.0971,-0.0743989306263
0.0972,-0.0743753747288
0.0973,-0.0743519522152
0.0974,-0.0743286345265
0.0975,-0.0743054315127
0.0976,-0.07428235406
0.0977,-0.0742594210139
0.0978,-0.07423659141
0.0979,-0.0742138925823
0.098,-0.0741913115722
0.0981,-0.0741688594659
0.0982,-0.0741465474427
0.0983,-0.0741243512904
0.0984,-0.0741023026931
0.0985,-0.0740803765624
0.0986,-0.0740585794846
0.0987,-0.0740369358183
0.0988,-0.0740154211596
0.0989,-0.073994046566
0.099,-0.0739728109847
0.0991,-0.0739517258493
0.0992,-0.0739307618275
0.0993,-0.0739099322385
0.0994,-0.0738892553833
0.0995,-0.0738687315823
0.0996,-0.0738483654201
0.0997,-0.0738281424239
0.0998,-0.0738080706005
0.0999,-0.0737881416325
